opportunity_id,customer_account,product_group,mrr,stage,forecast_category,rep,sales_channel,created_date,close_date
OPP-01665,PulseNet,Dark Fiber,81.75,5 - Accepted,Closed,Nicole Foster,Direct,01/28/2025,02/19/2025
OPP-01673,LinkStream,MPLS,1575.66,Closed Won,Closed,Sarah Mitchell,Direct,08/18/2025,02/05/2026
OPP-01676,BluePeak,Managed Services,448.34,5 - Accepted,Closed,Nicole Foster,Agent,04/18/2025,08/23/2025
OPP-01681,WavePoint,Ethernet,245.1,Closed Won,Closed,Lisa Chen,Channel,03/17/2025,06/02/2025
OPP-01682,Acme Corp,Colocation,262.58,Closed Won,Closed,Ryan O'Brien,Channel,08/04/2024,01/23/2025
OPP-01684,SignalBridge,MPLS,1377.7,Closed Won,Closed,Nicole Foster,Channel,02/03/2026,02/20/2026
OPP-01685,Acme Corp,IP Transit,348.63,5 - Accepted,Closed,Jessica Kim,Channel,04/12/2024,09/26/2024
OPP-01686,CoreConnect,Dark Fiber,41.4,Closed Won,Closed,Jessica Kim,Direct,03/24/2024,05/24/2024
OPP-01689,LinkStream,Colocation,525.73,5 - Accepted,Closed,Amy Rodriguez,Channel,07/12/2025,09/07/2025
OPP-01690,FiberLink,DDoS Protection,2095.55,5 - Accepted,Closed,Ryan O'Brien,Agent,11/26/2025,02/04/2026
OPP-01695,Acme Corp,IP Transit,207.31,Closed Won,Closed,Jose Banales,Agent,06/10/2025,10/30/2025
OPP-01696,OmniConnect,IP Transit,408.22,Closed Won,Closed,Sarah Mitchell,Direct,05/05/2024,09/01/2024
OPP-01703,Zenith Systems,IP Transit,46.49,5 - Accepted,Closed,Sarah Mitchell,Agent,12/03/2024,03/04/2025
OPP-01708,GoldGrid,DDoS Protection,860.98,Closed Won,Closed,Mark Thompson,Agent,04/11/2025,07/02/2025
OPP-01710,CloudFirst,Cloud Connect,615.82,Closed Won,Closed,Ryan O'Brien,Direct,03/27/2025,08/24/2025
OPP-01714,NetScale Systems,DDoS Protection,226.69,5 - Accepted,Closed,Lisa Chen,Channel,03/26/2024,09/03/2024
OPP-01715,ClearPath,MPLS,540.12,5 - Accepted,Closed,David Park,Agent,04/02/2025,09/11/2025
OPP-01725,TechFlow Inc,IP Transit,121.17,5 - Accepted,Closed,Jessica Kim,Agent,10/03/2024,11/17/2024
OPP-01727,Quantum Networks,Managed Services,280.76,5 - Accepted,Closed,Mark Thompson,Direct,04/22/2025,06/21/2025
OPP-01733,FiberLink,Dark Fiber,2518.24,Closed Won,Closed,Jessica Kim,Direct,10/12/2025,03/12/2026
OPP-01738,PrimeRoute,DDoS Protection,633.54,5 - Accepted,Closed,Jessica Kim,Channel,10/11/2025,01/12/2026
OPP-01742,NetScale Systems,MPLS,518.78,Closed Won,Closed,Amy Rodriguez,Channel,10/20/2024,04/04/2025
OPP-01743,Apex Digital,Managed Services,399.73,5 - Accepted,Closed,Ryan O'Brien,Channel,01/24/2026,03/02/2026
OPP-01746,Quantum Networks,MPLS,356.59,Closed Won,Closed,Mark Thompson,Direct,10/29/2025,02/28/2026
OPP-01751,HorizonIO,MPLS,328.08,Closed Won,Closed,Jessica Kim,Agent,03/08/2025,07/10/2025
OPP-01752,DataSync Labs,SD-WAN,874.33,5 - Accepted,Closed,Amy Rodriguez,Direct,04/25/2024,10/07/2024
OPP-01754,TerraLink,Ethernet,698.78,5 - Accepted,Closed,Amy Rodriguez,Direct,03/11/2025,04/23/2025
OPP-01755,SignalBridge,Colocation,223.09,5 - Accepted,Closed,Mark Thompson,Channel,02/02/2025,07/24/2025
OPP-01759,CopperLine,Managed Services,144.68,5 - Accepted,Closed,David Park,Direct,02/08/2026,03/12/2026
OPP-01760,WavePoint,Ethernet,726.97,5 - Accepted,Closed,Jose Banales,Agent,10/28/2025,02/25/2026
OPP-01761,Cascade Networks,MPLS,358.02,Closed Won,Closed,David Park,Direct,09/11/2024,10/25/2024
OPP-01764,WavePoint,MPLS,229.12,5 - Accepted,Closed,Lisa Chen,Agent,03/17/2025,08/14/2025
OPP-01766,Titanium Labs,MPLS,49.24,5 - Accepted,Closed,Lisa Chen,Direct,04/28/2025,08/20/2025
OPP-01769,VectorData,DDoS Protection,858.07,5 - Accepted,Closed,Lisa Chen,Agent,02/06/2026,02/20/2026
OPP-01771,Quantum Networks,Managed Services,30.88,Closed Won,Closed,Jessica Kim,Channel,05/16/2024,07/09/2024
OPP-01773,SignalBridge,Ethernet,177.71,Closed Won,Closed,Lisa Chen,Direct,07/06/2024,09/14/2024
OPP-01774,LinkStream,Dark Fiber,255.46,5 - Accepted,Closed,Lisa Chen,Direct,07/21/2024,11/22/2024
OPP-01794,SkyBridge Networks,MPLS,818.47,5 - Accepted,Closed,Mark Thompson,Direct,08/20/2024,02/02/2025
OPP-01795,Apex Digital,Cloud Connect,579.72,Closed Won,Closed,Nicole Foster,Channel,12/15/2025,03/15/2026
OPP-01800,StarForge,Colocation,3385.81,Closed Won,Closed,Jose Banales,Channel,04/30/2024,08/22/2024
OPP-01803,GoldGrid,IP Transit,263.1,Closed Won,Closed,Chris Weber,Direct,01/03/2025,02/28/2025
OPP-01806,Summit Cloud,Ethernet,342.58,5 - Accepted,Closed,Sarah Mitchell,Agent,09/06/2024,09/21/2024
OPP-01821,CopperLine,SD-WAN,537.92,Closed Won,Closed,Sarah Mitchell,Channel,11/17/2025,03/08/2026
OPP-01823,Summit Cloud,SD-WAN,448.37,5 - Accepted,Closed,Sarah Mitchell,Channel,10/15/2024,02/09/2025
OPP-01826,SignalBridge,DDoS Protection,23.62,Closed Won,Closed,Mark Thompson,Channel,03/20/2025,08/15/2025
OPP-01835,IronGate Tech,IP Transit,80.98,Closed Won,Closed,Mark Thompson,Direct,01/22/2026,03/03/2026
OPP-01836,TechFlow Inc,SD-WAN,709.09,5 - Accepted,Closed,Jessica Kim,Channel,11/19/2025,01/30/2026
OPP-01838,CoreConnect,SD-WAN,157.57,Closed Won,Closed,Amy Rodriguez,Agent,06/19/2024,07/21/2024
OPP-01840,StarForge,Cloud Connect,407.28,5 - Accepted,Closed,Amy Rodriguez,Agent,12/07/2025,01/12/2026
OPP-01844,ByteWorks,Managed Services,111.66,Closed Won,Closed,Ryan O'Brien,Agent,05/27/2024,08/01/2024
OPP-01845,NexGen Telecom,Colocation,451.43,5 - Accepted,Closed,Nicole Foster,Direct,10/09/2025,11/10/2025
OPP-01846,OmniConnect,IP Transit,51.38,5 - Accepted,Closed,Jessica Kim,Agent,02/01/2025,04/03/2025
OPP-01849,Pinnacle IT,Managed Services,852.15,Closed Won,Closed,Chris Weber,Direct,11/27/2025,03/09/2026
OPP-01866,LinkStream,Cloud Connect,16857.77,5 - Accepted,Closed,Lisa Chen,Agent,06/01/2025,07/09/2025
OPP-01868,PulseNet,Cloud Connect,3095.01,5 - Accepted,Closed,Amy Rodriguez,Direct,11/18/2024,04/02/2025
OPP-01870,FlexNet Solutions,IP Transit,3160.1,Closed Won,Closed,Ryan O'Brien,Direct,06/04/2024,06/27/2024
OPP-01874,BluePeak,MPLS,479.84,Closed Won,Closed,Jose Banales,Channel,09/18/2025,12/13/2025
OPP-01878,OmniConnect,Colocation,219.36,5 - Accepted,Closed,Lisa Chen,Agent,06/22/2024,09/04/2024
OPP-01886,FiberLink,DDoS Protection,297.54,5 - Accepted,Closed,Lisa Chen,Direct,05/14/2024,07/06/2024
OPP-01888,SkyBridge Networks,Ethernet,375.21,5 - Accepted,Closed,Chris Weber,Agent,05/18/2024,06/26/2024
OPP-01895,PulseNet,DDoS Protection,247.39,5 - Accepted,Closed,Nicole Foster,Direct,07/29/2024,12/11/2024
OPP-01897,DataSync Labs,IP Transit,122.86,Closed Won,Closed,Sarah Mitchell,Direct,05/06/2025,08/02/2025
OPP-01898,SilverStream,Colocation,96.36,5 - Accepted,Closed,Chris Weber,Channel,05/17/2024,06/03/2024
OPP-01899,Summit Cloud,Colocation,278.51,Closed Won,Closed,David Park,Channel,06/16/2024,11/22/2024
OPP-01902,PrimeRoute,Managed Services,209.09,5 - Accepted,Closed,Jose Banales,Agent,08/16/2024,09/02/2024
OPP-01904,Acme Corp,Ethernet,194.32,5 - Accepted,Closed,Lisa Chen,Direct,05/04/2025,09/12/2025
OPP-01911,LinkStream,Cloud Connect,220.34,5 - Accepted,Closed,Lisa Chen,Channel,11/19/2025,02/06/2026
OPP-01912,FlexNet Solutions,MPLS,63.26,Closed Won,Closed,David Park,Channel,12/16/2024,06/13/2025
OPP-01918,CloudFirst,Managed Services,526.01,5 - Accepted,Closed,Nicole Foster,Direct,06/30/2025,08/06/2025
OPP-01920,VectorData,Colocation,18.82,5 - Accepted,Closed,Amy Rodriguez,Direct,12/07/2024,03/11/2025
OPP-01921,TerraLink,Dark Fiber,325.86,5 - Accepted,Closed,David Park,Agent,12/27/2025,03/05/2026
OPP-01922,TechFlow Inc,Wavelengths,3788.77,5 - Accepted,Closed,Nicole Foster,Direct,10/13/2024,01/15/2025
OPP-01936,GoldGrid,MPLS,380.45,Closed Won,Closed,Jose Banales,Direct,07/05/2024,11/24/2024
OPP-01937,FiberLink,MPLS,1029.09,Closed Won,Closed,Jessica Kim,Agent,03/16/2025,09/04/2025
OPP-01938,CloudFirst,Colocation,1081.16,5 - Accepted,Closed,David Park,Direct,03/26/2025,04/12/2025
OPP-01939,DigiPath,Wavelengths,2889.64,Closed Won,Closed,Lisa Chen,Channel,02/08/2026,03/01/2026
OPP-01940,Acme Corp,Managed Services,120.24,Closed Won,Closed,Mark Thompson,Channel,07/04/2024,11/05/2024
OPP-01944,VectorData,SD-WAN,319.29,Closed Won,Closed,Lisa Chen,Direct,04/15/2025,10/01/2025
OPP-01947,NetScale Systems,Dark Fiber,1052.24,5 - Accepted,Closed,Jessica Kim,Direct,10/20/2024,12/02/2024
OPP-01953,SkyBridge Networks,MPLS,513.76,Closed Won,Closed,Jessica Kim,Agent,04/14/2025,05/03/2025
OPP-01958,Atlas Computing,IP Transit,1012.14,5 - Accepted,Closed,Chris Weber,Direct,09/09/2025,01/05/2026
OPP-01959,WavePoint,Managed Services,335.34,Closed Won,Closed,Mark Thompson,Agent,08/04/2024,08/21/2024
OPP-01960,SwiftNode,DDoS Protection,1276.72,Closed Won,Closed,Lisa Chen,Direct,09/30/2025,01/25/2026
OPP-01964,Titanium Labs,DDoS Protection,925.3,5 - Accepted,Closed,Sarah Mitchell,Channel,02/14/2026,03/04/2026
OPP-01966,TechFlow Inc,Ethernet,42.94,Closed Won,Closed,Ryan O'Brien,Channel,09/13/2024,03/11/2025
OPP-01969,PrimeRoute,Colocation,991.29,Closed Won,Closed,Chris Weber,Agent,09/25/2024,10/17/2024
OPP-01979,Acme Corp,Colocation,660.69,5 - Accepted,Closed,Ryan O'Brien,Channel,09/09/2024,02/23/2025
OPP-01984,GridForce,IP Transit,213.78,5 - Accepted,Closed,David Park,Direct,12/18/2024,03/12/2025
OPP-01985,Quantum Networks,IP Transit,18.76,5 - Accepted,Closed,Nicole Foster,Direct,11/23/2025,03/13/2026
OPP-01988,GoldGrid,Wavelengths,108.59,Closed Won,Closed,Nicole Foster,Direct,05/02/2025,06/18/2025
OPP-01994,VectorData,IP Transit,910.13,5 - Accepted,Closed,Mark Thompson,Direct,09/21/2025,11/03/2025
OPP-01997,SignalBridge,Cloud Connect,202.33,5 - Accepted,Closed,Jessica Kim,Agent,03/20/2025,08/16/2025
OPP-01999,PulseNet,Dark Fiber,9.72,Closed Won,Closed,Ryan O'Brien,Channel,12/30/2025,02/22/2026
OPP-02000,SkyBridge Networks,Wavelengths,149.53,Closed Won,Closed,Nicole Foster,Channel,01/26/2026,03/05/2026
OPP-02001,SignalBridge,SD-WAN,3697.08,5 - Accepted,Closed,Jessica Kim,Direct,06/18/2024,08/15/2024
OPP-02003,SignalBridge,Managed Services,540.05,5 - Accepted,Closed,Jose Banales,Direct,09/23/2024,10/25/2024
OPP-02007,CloudFirst,Managed Services,205.04,5 - Accepted,Closed,Chris Weber,Direct,12/20/2024,04/22/2025
OPP-02008,Quantum Networks,Managed Services,140.67,Closed Won,Closed,Chris Weber,Agent,03/30/2024,09/25/2024
OPP-02009,GoldGrid,SD-WAN,294.31,Closed Won,Closed,David Park,Agent,01/06/2025,02/19/2025
OPP-02013,PulseNet,Dark Fiber,739.55,5 - Accepted,Closed,Mark Thompson,Channel,08/08/2025,10/05/2025
OPP-02016,Titanium Labs,Dark Fiber,777.69,5 - Accepted,Closed,David Park,Agent,01/15/2026,02/02/2026
OPP-02017,Acme Corp,MPLS,206.91,5 - Accepted,Closed,Amy Rodriguez,Direct,09/12/2024,10/20/2024
OPP-02032,RedRock Data,Wavelengths,838.88,Closed Won,Closed,Ryan O'Brien,Direct,06/18/2024,10/28/2024
OPP-02037,WavePoint,Wavelengths,277.15,Closed Won,Closed,Jessica Kim,Agent,01/03/2026,02/24/2026
OPP-02042,Atlas Computing,SD-WAN,309.1,Closed Won,Closed,Sarah Mitchell,Direct,07/14/2025,11/09/2025
OPP-02043,Zenith Systems,IP Transit,219.64,Closed Won,Closed,Jose Banales,Agent,05/15/2024,11/08/2024
OPP-02051,GoldGrid,Colocation,527.11,5 - Accepted,Closed,Chris Weber,Channel,01/29/2026,03/13/2026
OPP-02052,CloudFirst,SD-WAN,468.94,5 - Accepted,Closed,Mark Thompson,Agent,04/15/2025,08/14/2025
OPP-02053,Zenith Systems,Wavelengths,591.66,5 - Accepted,Closed,Jessica Kim,Agent,11/25/2025,03/10/2026
OPP-02066,NetScale Systems,Managed Services,162.93,Closed Won,Closed,Amy Rodriguez,Direct,11/05/2025,02/22/2026
OPP-02067,NetScale Systems,MPLS,37.33,Closed Won,Closed,Lisa Chen,Agent,01/12/2025,04/16/2025
OPP-02070,DataSync Labs,Colocation,2542.55,Closed Won,Closed,Amy Rodriguez,Direct,06/06/2024,08/28/2024
OPP-02073,Zenith Systems,Dark Fiber,776.96,Closed Won,Closed,Jessica Kim,Channel,01/31/2025,03/17/2025
OPP-02076,TechFlow Inc,Managed Services,564.57,Closed Won,Closed,Ryan O'Brien,Agent,04/13/2025,07/09/2025
OPP-02081,PrimeRoute,Colocation,84.79,5 - Accepted,Closed,Amy Rodriguez,Agent,07/10/2024,12/24/2024
OPP-02086,Titanium Labs,DDoS Protection,61.2,5 - Accepted,Closed,Jose Banales,Channel,04/03/2024,05/21/2024
OPP-02091,DataSync Labs,Dark Fiber,75.2,5 - Accepted,Closed,Nicole Foster,Agent,08/04/2025,11/02/2025
OPP-02092,Apex Digital,SD-WAN,149.17,5 - Accepted,Closed,David Park,Agent,11/27/2025,02/22/2026
OPP-02096,FiberLink,DDoS Protection,18.62,Closed Won,Closed,Mark Thompson,Channel,08/22/2024,12/22/2024
OPP-02099,OmniConnect,Colocation,241.08,5 - Accepted,Closed,Jessica Kim,Agent,11/12/2025,02/18/2026
OPP-02100,HorizonIO,Managed Services,856.04,5 - Accepted,Closed,Nicole Foster,Channel,06/25/2024,09/29/2024
OPP-02107,TerraLink,MPLS,3938.69,5 - Accepted,Closed,Nicole Foster,Agent,08/28/2024,11/08/2024
OPP-02113,WavePoint,IP Transit,211.7,Closed Won,Closed,Jessica Kim,Channel,04/21/2024,08/15/2024
OPP-02120,NetScale Systems,SD-WAN,89.45,5 - Accepted,Closed,Nicole Foster,Agent,01/24/2026,03/13/2026
OPP-02122,FiberLink,Cloud Connect,122.79,5 - Accepted,Closed,Nicole Foster,Channel,09/01/2024,10/21/2024
OPP-02126,GridForce,SD-WAN,163.18,5 - Accepted,Closed,Nicole Foster,Agent,02/13/2025,07/09/2025
OPP-02129,Acme Corp,Wavelengths,764.64,5 - Accepted,Closed,Chris Weber,Channel,12/27/2024,04/05/2025
OPP-02132,TerraLink,Cloud Connect,1103.12,5 - Accepted,Closed,David Park,Channel,08/24/2025,02/05/2026
OPP-02135,DataSync Labs,MPLS,1779.42,5 - Accepted,Closed,David Park,Channel,09/22/2025,03/12/2026
OPP-02138,PrimeRoute,Wavelengths,359.75,Closed Won,Closed,Lisa Chen,Channel,04/08/2025,08/26/2025
OPP-02153,OmniConnect,MPLS,1715.26,5 - Accepted,Closed,Sarah Mitchell,Channel,09/05/2024,01/01/2025
OPP-02154,StarForge,Ethernet,585.66,Closed Won,Closed,Ryan O'Brien,Channel,04/04/2024,08/19/2024
OPP-02160,RedRock Data,Managed Services,118.25,Closed Won,Closed,Lisa Chen,Agent,12/25/2025,01/19/2026
OPP-02161,Apex Digital,Managed Services,852.14,5 - Accepted,Closed,Jose Banales,Channel,10/31/2024,03/27/2025
OPP-02163,Apex Digital,Dark Fiber,622.52,5 - Accepted,Closed,Lisa Chen,Channel,09/15/2025,03/03/2026
OPP-02165,HorizonIO,SD-WAN,501.24,5 - Accepted,Closed,Amy Rodriguez,Channel,11/10/2024,03/13/2025
OPP-02169,SkyBridge Networks,SD-WAN,6429.76,5 - Accepted,Closed,Mark Thompson,Direct,05/27/2024,10/29/2024
OPP-02172,RedRock Data,SD-WAN,97.96,5 - Accepted,Closed,Nicole Foster,Direct,06/22/2024,10/18/2024
OPP-02179,FiberLink,Managed Services,186.25,5 - Accepted,Closed,Jessica Kim,Agent,12/23/2024,03/23/2025
OPP-02181,HorizonIO,IP Transit,929.74,5 - Accepted,Closed,Chris Weber,Direct,05/25/2024,11/01/2024
OPP-02183,SwiftNode,DDoS Protection,2718.01,Closed Won,Closed,David Park,Direct,03/20/2024,05/19/2024
OPP-02188,CoreConnect,Dark Fiber,396.93,5 - Accepted,Closed,David Park,Direct,06/23/2024,11/16/2024
OPP-02189,GridForce,Dark Fiber,208.37,5 - Accepted,Closed,Ryan O'Brien,Channel,06/20/2024,07/21/2024
OPP-02190,VectorData,Ethernet,785.29,Closed Won,Closed,Chris Weber,Channel,06/28/2025,08/06/2025
OPP-02191,DataSync Labs,MPLS,213.02,Closed Won,Closed,Chris Weber,Agent,05/11/2024,09/07/2024
OPP-02193,PulseNet,Ethernet,109.66,Closed Won,Closed,Jose Banales,Channel,02/24/2025,08/23/2025
OPP-02195,Pinnacle IT,Dark Fiber,61.16,Closed Won,Closed,Sarah Mitchell,Channel,10/14/2024,03/10/2025
OPP-02196,WavePoint,IP Transit,41.7,5 - Accepted,Closed,Mark Thompson,Direct,05/05/2024,08/23/2024
OPP-02203,ClearPath,IP Transit,53.08,Closed Won,Closed,Chris Weber,Channel,04/21/2025,06/15/2025
OPP-02209,FlexNet Solutions,DDoS Protection,330.51,Closed Won,Closed,Ryan O'Brien,Channel,09/20/2025,11/11/2025
OPP-02214,DigiPath,IP Transit,1146.08,5 - Accepted,Closed,Sarah Mitchell,Channel,09/22/2024,12/28/2024
OPP-02220,PrimeRoute,MPLS,292.69,5 - Accepted,Closed,Jose Banales,Direct,10/14/2024,01/07/2025
OPP-02222,RedRock Data,MPLS,110.69,Closed Won,Closed,Lisa Chen,Direct,11/12/2025,12/18/2025
OPP-02234,SignalBridge,Cloud Connect,81.51,Closed Won,Closed,Mark Thompson,Agent,05/23/2024,10/04/2024
OPP-02236,FlexNet Solutions,Colocation,755.12,5 - Accepted,Closed,Nicole Foster,Agent,06/23/2025,10/05/2025
OPP-02238,TerraLink,DDoS Protection,197.62,5 - Accepted,Closed,Mark Thompson,Agent,05/23/2025,07/23/2025
OPP-02240,CloudFirst,SD-WAN,318.83,5 - Accepted,Closed,Sarah Mitchell,Channel,07/09/2024,08/24/2024
OPP-02241,OmniConnect,IP Transit,473.99,Closed Won,Closed,Mark Thompson,Direct,09/17/2025,12/12/2025
OPP-02245,FlexNet Solutions,Wavelengths,424.66,5 - Accepted,Closed,Amy Rodriguez,Channel,09/22/2025,10/11/2025
OPP-02247,Summit Cloud,Wavelengths,70.58,5 - Accepted,Closed,David Park,Channel,10/07/2025,03/10/2026
OPP-02250,Zenith Systems,MPLS,1695.06,5 - Accepted,Closed,Nicole Foster,Direct,01/25/2025,02/14/2025
OPP-02253,ByteWorks,Managed Services,205.87,5 - Accepted,Closed,David Park,Channel,06/21/2024,09/01/2024
OPP-02256,PulseNet,Cloud Connect,1096.0,Closed Won,Closed,Jose Banales,Agent,01/20/2025,06/15/2025
OPP-02257,Acme Corp,Dark Fiber,803.33,Closed Won,Closed,David Park,Direct,04/29/2025,10/14/2025
OPP-02258,FiberLink,Cloud Connect,95.85,Closed Won,Closed,Ryan O'Brien,Channel,10/15/2025,02/03/2026
OPP-02259,Acme Corp,IP Transit,206.48,Closed Won,Closed,David Park,Direct,02/27/2025,08/14/2025
OPP-02264,CoreConnect,Cloud Connect,403.56,Closed Won,Closed,Jose Banales,Direct,03/19/2025,04/04/2025
OPP-02270,TerraLink,SD-WAN,779.98,Closed Won,Closed,Jessica Kim,Agent,01/14/2025,04/29/2025
OPP-02274,Pinnacle IT,DDoS Protection,120.99,5 - Accepted,Closed,Lisa Chen,Channel,08/24/2024,09/26/2024
OPP-02276,WavePoint,MPLS,349.28,Closed Won,Closed,David Park,Direct,11/24/2024,05/03/2025
OPP-02280,OmniConnect,IP Transit,1355.12,Closed Won,Closed,Chris Weber,Channel,08/12/2024,12/29/2024
OPP-02282,TerraLink,MPLS,501.33,5 - Accepted,Closed,Jessica Kim,Channel,12/28/2024,06/08/2025
OPP-02285,SwiftNode,DDoS Protection,1185.39,5 - Accepted,Closed,Jessica Kim,Direct,11/06/2025,01/15/2026
OPP-02286,VectorData,SD-WAN,3681.53,5 - Accepted,Closed,Mark Thompson,Direct,03/22/2024,05/23/2024
OPP-02292,TechFlow Inc,Dark Fiber,7178.01,5 - Accepted,Closed,Ryan O'Brien,Channel,09/25/2025,12/01/2025
OPP-02298,NetScale Systems,Dark Fiber,249.06,5 - Accepted,Closed,David Park,Direct,06/03/2024,08/11/2024
OPP-02304,CopperLine,Colocation,1243.6,5 - Accepted,Closed,Lisa Chen,Agent,09/18/2025,11/25/2025
OPP-02313,TerraLink,Ethernet,141.3,Closed Won,Closed,Jose Banales,Agent,01/09/2025,05/29/2025
OPP-02317,TechFlow Inc,Dark Fiber,170.6,5 - Accepted,Closed,Nicole Foster,Agent,10/04/2024,02/13/2025
OPP-02319,SkyBridge Networks,SD-WAN,80.57,Closed Won,Closed,Jessica Kim,Agent,11/08/2025,12/22/2025
OPP-02321,CoreConnect,DDoS Protection,1765.64,5 - Accepted,Closed,Amy Rodriguez,Agent,10/12/2024,12/22/2024
OPP-02323,Titanium Labs,DDoS Protection,291.85,Closed Won,Closed,Jessica Kim,Agent,11/18/2024,01/11/2025
OPP-02329,Quantum Networks,Dark Fiber,81.03,Closed Won,Closed,Jose Banales,Agent,07/12/2024,07/27/2024
OPP-02339,Atlas Computing,DDoS Protection,203.74,5 - Accepted,Closed,Mark Thompson,Agent,08/27/2025,09/13/2025
OPP-02342,GoldGrid,Managed Services,313.26,5 - Accepted,Closed,Jessica Kim,Channel,09/26/2024,03/02/2025
OPP-02343,SkyBridge Networks,Colocation,101.36,5 - Accepted,Closed,Jose Banales,Channel,04/18/2025,07/26/2025
OPP-02347,Atlas Computing,Dark Fiber,1308.08,Closed Won,Closed,Lisa Chen,Agent,03/31/2024,05/01/2024
OPP-02349,PulseNet,IP Transit,533.91,Closed Won,Closed,Lisa Chen,Direct,09/06/2024,10/01/2024
OPP-02356,Zenith Systems,SD-WAN,358.55,5 - Accepted,Closed,Ryan O'Brien,Channel,03/22/2024,08/14/2024
OPP-02359,SilverStream,IP Transit,525.88,Closed Won,Closed,Ryan O'Brien,Channel,05/03/2024,09/14/2024
OPP-02361,Acme Corp,Ethernet,33.2,5 - Accepted,Closed,Ryan O'Brien,Direct,03/22/2024,06/21/2024
OPP-02362,ClearPath,Dark Fiber,1012.46,Closed Won,Closed,Mark Thompson,Agent,07/06/2025,12/20/2025
OPP-02365,WavePoint,Colocation,280.92,5 - Accepted,Closed,Chris Weber,Agent,10/01/2024,03/06/2025
OPP-02370,VectorData,Wavelengths,448.62,Closed Won,Closed,Mark Thompson,Channel,06/13/2025,10/06/2025
OPP-02374,PrimeRoute,Ethernet,243.3,5 - Accepted,Closed,Ryan O'Brien,Agent,08/13/2024,11/30/2024
OPP-02376,NexGen Telecom,SD-WAN,338.7,5 - Accepted,Closed,Mark Thompson,Channel,05/22/2024,07/04/2024
OPP-02379,Pinnacle IT,Wavelengths,574.85,Closed Won,Closed,Sarah Mitchell,Channel,02/28/2025,03/31/2025
OPP-02380,SwiftNode,Ethernet,2606.13,Closed Won,Closed,Mark Thompson,Agent,07/31/2025,10/12/2025
OPP-02381,GoldGrid,IP Transit,1163.87,Closed Won,Closed,Mark Thompson,Direct,02/11/2026,03/04/2026
OPP-02387,EchoPoint,Colocation,358.22,Closed Won,Closed,Sarah Mitchell,Direct,02/02/2025,03/14/2025
OPP-02397,WavePoint,DDoS Protection,974.58,5 - Accepted,Closed,Lisa Chen,Agent,06/12/2025,11/13/2025
OPP-02401,PulseNet,Wavelengths,190.83,5 - Accepted,Closed,Amy Rodriguez,Direct,09/20/2025,02/26/2026
OPP-02405,TerraLink,Cloud Connect,999.78,5 - Accepted,Closed,Nicole Foster,Direct,06/09/2024,11/10/2024
OPP-02409,Cascade Networks,Wavelengths,307.01,Closed Won,Closed,Ryan O'Brien,Agent,12/25/2025,03/04/2026
OPP-02419,DigiPath,Colocation,141.79,5 - Accepted,Closed,Chris Weber,Direct,10/07/2025,12/25/2025
OPP-02424,TechFlow Inc,Managed Services,188.89,5 - Accepted,Closed,Mark Thompson,Direct,09/09/2024,03/08/2025
OPP-02428,Summit Cloud,DDoS Protection,79.99,5 - Accepted,Closed,Sarah Mitchell,Channel,10/01/2024,03/23/2025
OPP-02429,EchoPoint,MPLS,219.31,Closed Won,Closed,Sarah Mitchell,Direct,06/21/2024,12/15/2024
OPP-02430,GoldGrid,Dark Fiber,215.66,Closed Won,Closed,Ryan O'Brien,Direct,09/19/2024,02/28/2025
OPP-02432,IronGate Tech,MPLS,132.09,5 - Accepted,Closed,Mark Thompson,Direct,05/23/2024,11/14/2024
OPP-02434,WavePoint,SD-WAN,224.73,Closed Won,Closed,Jose Banales,Channel,01/19/2025,06/15/2025
OPP-02436,Summit Cloud,DDoS Protection,214.8,Closed Won,Closed,Amy Rodriguez,Channel,08/01/2024,01/04/2025
OPP-02437,ClearPath,Cloud Connect,515.35,Closed Won,Closed,Jose Banales,Channel,10/11/2025,02/17/2026
OPP-02444,Zenith Systems,Managed Services,342.73,5 - Accepted,Closed,Amy Rodriguez,Channel,06/24/2024,10/15/2024
OPP-02448,SignalBridge,Cloud Connect,661.68,Closed Won,Closed,Jessica Kim,Direct,02/12/2025,07/02/2025
OPP-02451,TechFlow Inc,Wavelengths,961.44,5 - Accepted,Closed,Mark Thompson,Channel,08/01/2025,12/11/2025
OPP-02452,OmniConnect,Colocation,335.42,5 - Accepted,Closed,Chris Weber,Channel,10/02/2024,02/02/2025
OPP-02456,PulseNet,DDoS Protection,920.68,5 - Accepted,Closed,Mark Thompson,Channel,10/06/2025,03/02/2026
OPP-02459,VectorData,IP Transit,548.31,5 - Accepted,Closed,Jose Banales,Channel,01/17/2025,02/23/2025
OPP-02461,Titanium Labs,SD-WAN,190.93,Closed Won,Closed,Jose Banales,Channel,12/12/2024,03/24/2025
OPP-02467,Acme Corp,SD-WAN,452.51,5 - Accepted,Closed,Jessica Kim,Agent,12/06/2025,12/25/2025
OPP-02470,IronGate Tech,IP Transit,2105.41,Closed Won,Closed,Mark Thompson,Direct,04/07/2025,04/30/2025
OPP-02472,ClearPath,IP Transit,233.87,Closed Won,Closed,David Park,Channel,02/04/2026,02/16/2026
OPP-02473,ByteWorks,Colocation,546.83,Closed Won,Closed,Jessica Kim,Agent,05/08/2025,09/05/2025
OPP-02474,HorizonIO,Managed Services,250.73,Closed Won,Closed,Jessica Kim,Channel,12/16/2024,04/17/2025
